"","x"
"1",-0.0163155868248635
"2",-0.0519298703034936
"3",-0.0116844233353506
"4",-2.88657986402541e-15
"5",-3.5527136788005e-15
"6",-0.0601076933682556
"7",-0.0990079949504887
"8",-0.0928358365996017
"9",-0.0494882177333584
"10",-0.0099125783659878
"11",-0.00649193103474566
"12",-3.33066907387547e-16
"13",-0.0415689934612666
"14",-0.00948627477034433
"15",-2.27595720048157e-15
"16",-0.0416748108245979
"17",-1.83186799063151e-15
"18",-2.44249065417534e-15
"19",-0.0651026503749814
"20",-0.0726606846197405
"21",-0.0582297894308227
"22",-0.0262116124944339
"23",-3.88578058618805e-15
"24",-0.00999755625800669
"25",-0.0379919243044261
"26",-0.0596840200437333
"27",-0.0603356157640921
"28",-0.0251342625201373
"29",-0.00796219315160718
"30",-0.0626138875018523
"31",-0.0527364723888927
"32",-0.0735081395470638
"33",-0.0848687529406625
"34",-0.0616058857597606
"35",-0.0240968358933943
"36",-0.0166620848869189
"37",-5.10702591327572e-15
"38",-8.32667268468867e-15
"39",-0.00460769342532197
"40",-0.0143834507055137
"41",-0.0627420305993808
"42",-0.0746462738963796
"43",-0.0906707581248307
"44",-0.0771762895796533
"45",-0.051324330782863
"46",-0.0312845742144549
"47",-0.0388530259263346
"48",-0.0416200932321033
"49",-0.0418768741629807
"50",-0.0378305335586986
"51",-0.0371241966364364
"52",-0.0467376275007767
"53",-0.0614719104766945
"54",-0.0745655971469621
"55",-0.0929013381938808
"56",-0.109093945028362
"57",-0.113309375700789
"58",-0.102495172051496
"59",-0.0753889680610222
"60",-0.0334216224469156
"61",-0.00105693796356332
"62",-8.88178419700125e-15
"63",0.000879665393318518
"64",-0.00471038623092102
"65",-0.015842261272622
"66",-0.0353601609706008
"67",-0.048099259180907
"68",-0.0346965087316685
"69",-0.0303126340609362
"70",-0.0177244327487994
"71",-4.88498130835069e-15
"72",-2.44249065417534e-15
"73",-0.0304101821760215
"74",-1.60982338570648e-15
"75",-1.33226762955019e-15
